股票代码,股票简称,首次预约,初次变更,二次变更,三次变更,实际披露,报告期,预留,orgId
000001,平安银行,2026-08-15,,,,,2026-06-30,,gssz0000001
000002,万  科Ａ,2026-08-28,,,,,2026-06-30,,gssz0000002
000006,深振业Ａ,2026-08-26,,,,,2026-06-30,,gssz0000006
000007,全新好,2026-08-26,,,,,2026-06-30,,gssz0000007
000008,神州高铁,2026-08-29,,,,,2026-06-30,,gssz0000008
000009,中国宝安,2026-08-29,,,,,2026-06-30,,gssz0000009
000010,*ST美丽,2026-08-29,,,,,2026-06-30,,gssz0000010
000011,深物业A,2026-08-29,,,,,2026-06-30,,gssz0000011
000012,南  玻Ａ,2026-08-28,,,,,2026-06-30,,gssz0000012
000014,沙河股份,2026-08-28,,,,,2026-06-30,,gssz0000014
000016,*ST康佳A,2026-08-29,,,,,2026-06-30,,gssz0000016
000017,深中华A,2026-08-25,,,,,2026-06-30,,gssz0000017
000019,深粮控股,2026-08-28,,,,,2026-06-30,,gssz0000019
000020,深华发Ａ,2026-08-18,,,,,2026-06-30,,gssz0000020
000021,深科技,2026-08-26,,,,,2026-06-30,,gssz0000021
000025,特  力Ａ,2026-08-22,,,,,2026-06-30,,gssz0000025
000026,飞亚达,2026-08-21,,,,,2026-06-30,,gssz0000026
000027,深圳能源,2026-08-26,,,,,2026-06-30,,gssz0000027
000028,国药一致,2026-08-25,,2026-08-29,,,2026-06-30,,gssz0000028
000029,深深房Ａ,2026-08-26,,,,,2026-06-30,,gssz0000029
000030,富奥股份,2026-08-28,,,,,2026-06-30,,gssz0000030
000031,大悦城,2026-08-29,,,,,2026-06-30,,gssz0000031
000032,深桑达Ａ,2026-08-27,,,,,2026-06-30,,gssz0000032
000034,神州数码,2026-08-29,,,,,2026-06-30,,gssz0000034
000035,中国天楹,2026-08-29,,,,,2026-06-30,,gssz0000035
000036,华联控股,2026-08-28,,,,,2026-06-30,,gssz0000036
000037,深南电A,2026-08-25,,,,,2026-06-30,,gssz0000037
000039,中集集团,2026-08-29,,,,,2026-06-30,,gssz0000039
000042,中洲控股,2026-08-21,,,,,2026-06-30,,gssz0000042
000045,深纺织Ａ,2026-08-26,,,,,2026-06-30,,gssz0000045
000048,京基智农,2026-08-24,,,,,2026-06-30,,gssz0000048
000049,德赛电池,2026-08-18,,,,,2026-06-30,,gssz0000049
000050,深天马Ａ,2026-08-25,,,,,2026-06-30,,gssz0000050
000055,方大集团,2026-08-25,,,,,2026-06-30,,gssz0000055
000056,*ST皇庭,2026-08-25,,,,,2026-06-30,,gssz0000056
000058,深 赛 格,2026-08-27,,,,,2026-06-30,,gssz0000058
000059,华锦股份,2026-08-20,,,,,2026-06-30,,gssz0000059
000060,中金岭南,2026-08-20,,2026-08-28,,,2026-06-30,,gssz0000060
000061,农 产 品,2026-08-25,,,,,2026-06-30,,gssz0000061
000062,深圳华强,2026-08-28,,,,,2026-06-30,,gssz0000062
000063,中兴通讯,2026-08-22,,,,,2026-06-30,,gssz0000063
